Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.214285714285714,0.25,0.296130357142857,0.354464285714286,0.4318875,0.495316071428571,0.495316071428571,0.873505357142857,1,30.7,3900,2300
Archipelago,0.255951785714286,0.276785714285714,0.314282142857143,0.3735125,0.432398214285714,0.480230357142857,0.480230357142857,0.8701625,1,29.4,2900,1400
BigGameHunters,0.169642857142857,0.169642857142857,0.210116071428571,0.275298214285714,0.3431125,0.404219642857143,0.404219642857143,0.848953571428572,1,30.9,2600,1700
Brushfire,0.151785714285714,0.232142857142857,0.2827375,0.316071428571429,0.3577375,0.400508928571429,0.400508928571429,0.850073214285714,1,31.1,5100,1400
Caldera,0.321428571428571,0.366071428571429,0.412198214285714,0.482141071428571,0.545089285714286,0.586908928571429,0.586908928571429,0.895835714285714,1,27.3,1600,730
,,,,,,,0.801,0.945,1,30,1200,850
CrescentMoon,0.175594642857143,0.229166071428571,0.2827375,0.336308928571429,0.389880357142857,0.440476785714286,0.440476785714286,0.858632142857143,1.1,28.3,2800,1500
Desolation,0.285714285714286,0.294642857142857,0.315475,0.348214285714286,0.375,0.413694642857143,0.413694642857143,0.853426785714286,1,31.4,3000,1800
EbonLakes,0.232142857142857,0.278273214285714,0.299746428571429,0.315178571428571,0.335257142857143,0.366551785714286,0.366551785714286,0.840403571428571,1,29.2,5600,1900
Entanglement,0.166666071428571,0.241071428571429,0.292560714285714,0.340773214285714,0.384248214285714,0.447410714285714,0.447410714285714,0.861982142857143,1,28.7,2200,740
Eruption,0.232142857142857,0.232142857142857,0.261907142857143,0.3125,0.375,0.44345,0.44345,0.860860714285714,1,30.9,3000,2300
HotZone,0.196428571428571,0.223214285714286,0.273808928571429,0.330357142857143,0.381548214285714,0.431760714285714,0.431760714285714,0.857144642857143,1,30.2,3200,1700
Isolation,0.178571428571429,0.258928571428571,0.327378571428571,0.3875,0.444983928571429,0.500319642857143,0.500319642857143,0.874257142857143,1,28.8,4100,1600
Legacy,0.214285714285714,0.214285714285714,0.238092857142857,0.285714285714286,0.342857142857143,0.392857142857143,0.392857142857143,0.848214285714286,1,28.7,3400,1100
OrbitalGully,0.266666666666667,0.316666666666667,0.344446666666667,0.398333333333333,0.429523333333333,0.45555,0.45555,0.86319,1,28,6300,2200
Predators,0.1875,0.25,0.282739285714286,0.303571428571429,0.344642857142857,0.401039285714286,0.401039285714286,0.849328571428571,1,28,2000,960
Ramparts,0.212765957446808,0.24468085106383,0.269502127659574,0.276595744680851,0.306382978723404,0.343976595744681,0.343976595744681,0.835997872340425,1,33.6,12000,5600
RedCanyons,0.196428571428571,0.25,0.291671428571429,0.321428571428571,0.367857142857143,0.428571428571429,0.428571428571429,0.857142857142857,1,31,3500,1800
Rosewood,0.142857142857143,0.196428571428571,0.24405,0.316964285714286,0.389285714285714,0.455353571428571,0.455353571428571,0.862348214285714,1,29.7,4400,2300
Sanctuary,0.214285714285714,0.258928571428571,0.2797625,0.3125,0.346428571428571,0.4047625,0.4047625,0.851191071428571,1,29.5,7700,3500
ShroudPlatform,0.271739130434783,0.260869565217391,0.271739130434783,0.298913043478261,0.344928260869565,0.41630652173913,0.41630652173913,0.849639130434782,1.1,31.5,12000,6100
SpaceAtoll,0.196428571428571,0.223214285714286,0.249998214285714,0.28125,0.303571428571429,0.330126785714286,0.330126785714286,0.830728571428572,1,28.6,8200,4200
SpaceDebris,0.142857142857143,0.205357142857143,0.252978571428571,0.314285714285714,0.350596428571429,0.383292857142857,0.383292857142857,0.8456125,1,30.6,5000,1800
SteppingStones,0.267857142857143,0.294642857142857,0.345233928571429,0.40625,0.478571428571429,0.544219642857143,0.544219642857143,0.885789285714286,1,28.7,1400,690
Triskelion,0.232142857142857,0.241071428571429,0.255946428571428,0.274873214285714,0.308035714285714,0.3452375,0.3452375,0.8359375,1,32.6,11000,5000
WarpGates,0.1875,0.229166071428571,0.272321428571429,0.307142857142857,0.335119642857143,0.383083928571429,0.383083928571429,0.8426375,1,29.9,4400,1900
WatersEdge,0.160714285714286,0.178571428571429,0.208332142857143,0.266369642857143,0.343253571428571,0.411875,0.411875,0.848957142857143,1,29.8,6400,4400
WaypointJunction,0.267857142857143,0.264880357142857,0.286905357142857,0.311225,0.361507142857143,0.442219642857143,0.442219642857143,0.860123214285714,1,31.9,4000,1700
WinterConquest,0.137254901960784,0.205882352941176,0.274509803921569,0.362745098039216,0.436927450980392,0.498690196078431,0.498690196078431,0.870096078431372,1,29.7,6800,3400
,0.205204305889474,0.243015251483859,0.278626399511222,0.323144694762175,0.370933111661807,0.422932638891309,0.443069338398698,0.859557630879045,1.00689655172414,29.9551724137931,4800,2300
,,,,,,,0.090037623426747,0.021978791774545,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,49.5,87.4,,,,
,,,,,,,48,87,,,,
,,,,,,,40.4,84.9,,,,
,,,,,,,40.1,85,,,,
,,,,,,,58.7,89.6,,,,
,,,,,,,44,85.9,,,,
,,,,,,,41.4,85.3,,,,
,,,,,,,36.7,84,,,,
,,,,,,,44.7,86.2,,,,
,,,,,,,44.3,86.1,,,,
,,,,,,,43.2,85.7,,,,
,,,,,,,50,87.4,,,,
,,,,,,,39.3,84.8,,,,
,,,,,,,45.6,86.3,,,,
,,,,,,,40.1,84.9,,,,
,,,,,,,34.4,83.6,,,,
,,,,,,,42.9,85.7,,,,
,,,,,,,45.5,86.2,,,,
,,,,,,,40.5,85.1,,,,
,,,,,,,41.6,85,,,,
,,,,,,,33,83.1,,,,
,,,,,,,38.3,84.6,,,,
,,,,,,,54.4,88.6,,,,
,,,,,,,34.5,83.6,,,,
,,,,,,,38.3,84.3,,,,
,,,,,,,41.2,84.9,,,,
,,,,,,,44.2,86,,,,
,,,,,,,49.9,87,,,,
